IATA_CODE,ORIGIN_AIRPORT_CODE,AIRPORT
GGG,257,East Texas Regional Airport
ORH,258,Worcester Regional Airport
MKG,259,Muskegon County Airport
OAJ,260,Albert J. Ellis Airport
EAU,261,Chippewa Valley Regional Airport
DLH,262,Duluth International Airport
BRO,263,Brownsville/South Padre Island International Airport
PIH,264,Pocatello Regional Airport
MYR,265,Myrtle Beach International Airport
FAT,266,Fresno Yosemite International Airport
MAF,267,Midland International Airport
BIL,268,Billings Logan International Airport
KTN,269,Ketchikan International Airport
SCC,270,Deadhorse Airport (Prudhoe Bay Airport)
BRW,271,Wiley Post-Will Rogers Memorial Airport
CMX,272,Houghton County Memorial Airport
TOL,273,Toledo Express Airport
SRQ,274,Sarasota-Bradenton International Airport
MCO,275,Orlando International Airport
LCH,276,Lake Charles Regional Airport
LAW,277,Lawton-Fort Sill Regional Airport
MOT,278,Minot International Airport
GTF,279,Great Falls International Airport
ILG,280,Wilmington Airport
ADK,281,Adak Airport
ROW,282,Roswell International Air Center
HOB,283,Lea County Regional Airport
GFK,284,Grand Forks International Airport
EKO,285,Elko Regional Airport
VEL,286,Valdez Airport
CPR,287,Natrona County International Airport
DEN,288,Denver International Airport
MQT,289,Sawyer International Airport
BGM,290,Greater Binghamton Airport
BGR,291,Bangor International Airport
ITH,292,Ithaca Tompkins Regional Airport
ACK,293,Nantucket Memorial Airport
MVY,294,Martha's Vineyard Airport
DLG,295,Dillingham Airport
AKN,296,King Salmon Airport
GST,297,Gustavus Airport
HYA,298,Barnstable Municipal Airport
ABQ,299,Albuquerque International Sunport
